Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
-7.70000000E+01	-1.13640584E+02	1.78856092E+02	
-7.60000000E+01	-1.12972868E+02	-1.63605980E+02	
-7.50000000E+01	-1.12223752E+02	-1.44444064E+02	
-7.40000000E+01	-1.11346148E+02	-1.22768823E+02	
-7.30000000E+01	-1.10356072E+02	-9.93970400E+01	
-7.20000000E+01	-1.09298981E+02	-7.39629066E+01	
-7.10000000E+01	-1.08367274E+02	-4.72967929E+01	
-7.00000000E+01	-1.07503126E+02	-1.90661553E+01	
-6.90000000E+01	-1.06689737E+02	1.05319938E+01	
-6.80000000E+01	-1.06005686E+02	4.08608555E+01	
-6.70000000E+01	-1.05510292E+02	7.26310063E+01	
-6.60000000E+01	-1.05259007E+02	1.05642051E+02	
-6.50000000E+01	-1.05297049E+02	1.40603390E+02	
-6.40000000E+01	-1.05616475E+02	1.77692773E+02	
-6.30000000E+01	-1.06232888E+02	-1.42456819E+02	
-6.20000000E+01	-1.06999073E+02	-9.80559099E+01	
-6.10000000E+01	-1.07641573E+02	-4.91619268E+01	
-6.00000000E+01	-1.07905723E+02	3.13377407E+00	
-5.90000000E+01	-1.07559818E+02	5.65099059E+01	
-5.80000000E+01	-1.06921363E+02	1.08487561E+02	
-5.70000000E+01	-1.06262044E+02	1.59078447E+02	
-5.60000000E+01	-1.05857973E+02	-1.50946547E+02	
-5.50000000E+01	-1.05675754E+02	-9.97311330E+01	
-5.40000000E+01	-1.05615132E+02	-4.66832936E+01	
-5.30000000E+01	-1.05537909E+02	8.42302942E+00	
-5.20000000E+01	-1.05344900E+02	6.47664015E+01	
-5.10000000E+01	-1.05106911E+02	1.21464884E+02	
-5.00000000E+01	-1.05025445E+02	1.78509299E+02	
-4.90000000E+01	-1.05198929E+02	-1.23195809E+02	
-4.80000000E+01	-1.05600910E+02	-6.14049043E+01	
-4.70000000E+01	-1.05947343E+02	4.49760104E+00	
-4.60000000E+01	-1.05884974E+02	7.33707339E+01	
-4.50000000E+01	-1.05378054E+02	1.42490223E+02	
-4.40000000E+01	-1.04761694E+02	-1.50202264E+02	
-4.30000000E+01	-1.04336062E+02	-8.34197455E+01	
-4.20000000E+01	-1.04209509E+02	-1.58652357E+01	
-4.10000000E+01	-1.04242652E+02	5.31611419E+01	
-4.00000000E+01	-1.04329004E+02	1.23856447E+02	
-3.90000000E+01	-1.04558403E+02	-1.64279498E+02	
-3.80000000E+01	-1.04875316E+02	-9.11576165E+01	
-3.70000000E+01	-1.05304858E+02	-1.54614186E+01	
-3.60000000E+01	-1.05573201E+02	6.27068263E+01	
-3.50000000E+01	-1.05484681E+02	1.41130311E+02	
-3.40000000E+01	-1.05302727E+02	-1.41530283E+02	
-3.30000000E+01	-1.05259806E+02	-6.50719110E+01	
-3.20000000E+01	-1.05331542E+02	1.18703135E+01	
-3.10000000E+01	-1.05474528E+02	8.93490171E+01	
-3.00000000E+01	-1.05662125E+02	1.67046389E+02	
-2.90000000E+01	-1.06152736E+02	-1.14941540E+02	
-2.80000000E+01	-1.06891127E+02	-3.37192024E+01	
-2.70000000E+01	-1.07434003E+02	5.20359399E+01	
-2.60000000E+01	-1.07185837E+02	1.39788598E+02	
-2.50000000E+01	-1.06502715E+02	-1.35779809E+02	
-2.40000000E+01	-1.06128407E+02	-5.38107541E+01	
-2.30000000E+01	-1.06187387E+02	2.93142534E+01	
-2.20000000E+01	-1.06362089E+02	1.15088358E+02	
-2.10000000E+01	-1.06520316E+02	-1.57834322E+02	
-2.00000000E+01	-1.06860659E+02	-6.99301948E+01	
-1.90000000E+01	-1.07385484E+02	2.14543384E+01	
-1.80000000E+01	-1.07574379E+02	1.17081795E+02	
-1.70000000E+01	-1.07067324E+02	-1.48492290E+02	
-1.60000000E+01	-1.06665957E+02	-5.84312646E+01	
-1.50000000E+01	-1.06908880E+02	3.14119899E+01	
-1.40000000E+01	-1.07530028E+02	1.24126875E+02	
-1.30000000E+01	-1.08107929E+02	-1.41131220E+02	
-1.20000000E+01	-1.08751672E+02	-4.57937802E+01	
-1.10000000E+01	-1.09700543E+02	5.18811798E+01	
-1.00000000E+01	-1.10143610E+02	1.53297861E+02	
-9.00000000E+00	-1.10051717E+02	-1.09100611E+02	
-8.00000000E+00	-1.10556292E+02	-1.64264306E+01	
-7.00000000E+00	-1.12328398E+02	7.83898495E+01	
-6.00000000E+00	-1.14334171E+02	-1.76919119E+02	
-5.00000000E+00	-1.15073644E+02	-6.96599358E+01	
-4.00000000E+00	-1.16059678E+02	3.27182991E+01	
-3.00000000E+00	-1.17781269E+02	1.42344598E+02	
-2.00000000E+00	-1.17626072E+02	-1.04251563E+02	
-1.00000000E+00	-1.17202575E+02	-1.74589204E+00	
0.00000000E+00	-1.18493563E+02	1.01790690E+02	
1.00000000E+00	-1.18693103E+02	-1.38310862E+02	
2.00000000E+00	-1.16397065E+02	-3.13990887E+01	
3.00000000E+00	-1.15272866E+02	6.24132333E+01	
4.00000000E+00	-1.15581820E+02	1.59297402E+02	
5.00000000E+00	-1.15363791E+02	-9.79519314E+01	
6.00000000E+00	-1.14384080E+02	-5.49284378E-01	
7.00000000E+00	-1.14002663E+02	9.20854356E+01	
