Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
1.06000000E+02	-1.14430596E+02	-1.20291722E+02	
1.07000000E+02	-1.14422437E+02	-1.30399779E+02	
1.08000000E+02	-1.14651710E+02	-1.41121574E+02	
1.09000000E+02	-1.15145545E+02	-1.52334804E+02	
1.10000000E+02	-1.15995580E+02	-1.63771798E+02	
1.11000000E+02	-1.17229363E+02	-1.74823442E+02	
1.12000000E+02	-1.18955453E+02	1.75146993E+02	
1.13000000E+02	-1.21231421E+02	1.67764214E+02	
1.14000000E+02	-1.23974136E+02	1.65943125E+02	
1.15000000E+02	-1.26530778E+02	1.72576378E+02	
1.16000000E+02	-1.27806016E+02	-1.77458960E+02	
1.17000000E+02	-1.28554679E+02	-1.72859287E+02	
1.18000000E+02	-1.30592202E+02	-1.71277299E+02	
1.19000000E+02	-1.35078347E+02	-1.46243598E+02	
1.20000000E+02	-1.30879962E+02	-9.08639862E+01	
1.21000000E+02	-1.24352522E+02	-9.12395135E+01	
1.22000000E+02	-1.20437350E+02	-1.06551624E+02	
1.23000000E+02	-1.18149534E+02	-1.26950485E+02	
1.24000000E+02	-1.17125154E+02	-1.49360237E+02	
1.25000000E+02	-1.17300815E+02	-1.72806756E+02	
1.26000000E+02	-1.18834420E+02	1.64295314E+02	
1.27000000E+02	-1.22185767E+02	1.45308878E+02	
1.28000000E+02	-1.28147264E+02	1.44917900E+02	
1.29000000E+02	-1.29291864E+02	-1.72258161E+02	
1.30000000E+02	-1.25657331E+02	-1.72601966E+02	
1.31000000E+02	-1.25713284E+02	1.66909085E+02	
1.32000000E+02	-1.31785223E+02	1.49603298E+02	
1.33000000E+02	-1.31678582E+02	-9.92150945E+01	
1.34000000E+02	-1.21734446E+02	-1.18296386E+02	
1.35000000E+02	-1.17738912E+02	-1.48489963E+02	
1.36000000E+02	-1.16380657E+02	1.79304579E+02	
1.37000000E+02	-1.17148314E+02	1.47380088E+02	
1.38000000E+02	-1.20406652E+02	1.19455995E+02	
1.39000000E+02	-1.27143243E+02	1.15591845E+02	
1.40000000E+02	-1.26578211E+02	1.57304085E+02	
1.41000000E+02	-1.23280097E+02	1.38941463E+02	
1.42000000E+02	-1.25217236E+02	9.98503952E+01	
1.43000000E+02	-1.35266165E+02	-6.23578547E+00	
1.44000000E+02	-1.23241276E+02	-1.25539036E+02	
1.45000000E+02	-1.18162957E+02	-1.72508880E+02	
1.46000000E+02	-1.17011496E+02	1.45544117E+02	
1.47000000E+02	-1.19172349E+02	1.06463530E+02	
1.48000000E+02	-1.26938317E+02	8.13442649E+01	
1.49000000E+02	-1.27881985E+02	1.58055393E+02	
1.50000000E+02	-1.21866437E+02	1.32252408E+02	
1.51000000E+02	-1.22976039E+02	8.86388115E+01	
1.52000000E+02	-1.36345926E+02	1.78021159E+00	
1.53000000E+02	-1.22534353E+02	-1.60302026E+02	
1.54000000E+02	-1.17265596E+02	1.50475457E+02	
1.55000000E+02	-1.16691660E+02	1.05237389E+02	
1.56000000E+02	-1.20372037E+02	6.39247941E+01	
1.57000000E+02	-1.32995229E+02	7.43217500E+01	
1.58000000E+02	-1.23228327E+02	1.21327562E+02	
1.59000000E+02	-1.21045772E+02	7.88038760E+01	
1.60000000E+02	-1.27060119E+02	2.38357730E+01	
1.61000000E+02	-1.26990724E+02	-1.70526348E+02	
1.62000000E+02	-1.18501269E+02	1.30783425E+02	
1.63000000E+02	-1.17137601E+02	8.11709911E+01	
1.64000000E+02	-1.20899961E+02	3.46891344E+01	
1.65000000E+02	-1.38580678E+02	7.83804549E+01	
1.66000000E+02	-1.21589310E+02	9.99655130E+01	
1.67000000E+02	-1.19605010E+02	5.06085295E+01	
1.68000000E+02	-1.24869318E+02	-1.13884765E+01	
1.69000000E+02	-1.27375310E+02	1.73733236E+02	
1.70000000E+02	-1.19269622E+02	1.03213510E+02	
1.71000000E+02	-1.18810295E+02	5.10091898E+01	
1.72000000E+02	-1.25697432E+02	8.70329250E+00	
1.73000000E+02	-1.26663121E+02	1.03577559E+02	
1.74000000E+02	-1.19232724E+02	6.31155880E+01	
1.75000000E+02	-1.19845584E+02	1.11314466E+01	
1.76000000E+02	-1.29910574E+02	-6.55711973E+01	
1.77000000E+02	-1.23026863E+02	1.15621325E+02	
1.78000000E+02	-1.18343008E+02	5.80235031E+01	
1.79000000E+02	-1.20327755E+02	9.71019279E+00	
1.80000000E+02	-1.33440657E+02	1.60020322E+01	
1.81000000E+02	-1.21076184E+02	6.36896500E+01	
1.82000000E+02	-1.17786444E+02	1.74519191E+01	
1.83000000E+02	-1.20662278E+02	-3.43505176E+01	
1.84000000E+02	-1.39890781E+02	-1.55767017E+02	
1.85000000E+02	-1.21651411E+02	5.59841771E+01	
1.86000000E+02	-1.19358907E+02	2.04939812E+00	
1.87000000E+02	-1.24745558E+02	-5.15109208E+01	
1.88000000E+02	-1.29142894E+02	8.52053729E+01	
1.89000000E+02	-1.19100470E+02	2.95828847E+01	
1.90000000E+02	-1.18050927E+02	-2.40481310E+01	
1.91000000E+02	-1.22880536E+02	-8.27980391E+01	
1.92000000E+02	-1.32133118E+02	1.07085603E+02	
1.93000000E+02	-1.21874514E+02	1.84937174E+01	
1.94000000E+02	-1.22003513E+02	-4.15403835E+01	
1.95000000E+02	-1.31711785E+02	-1.39036864E+02	
1.96000000E+02	-1.22349098E+02	6.66577008E+01	
1.97000000E+02	-1.17712346E+02	7.34324400E+00	
1.98000000E+02	-1.18236256E+02	-4.60435552E+01	
1.99000000E+02	-1.24722215E+02	-1.00825649E+02	
2.00000000E+02	-1.31761984E+02	4.91828631E+01	
2.01000000E+02	-1.22178490E+02	-1.38602321E+01	
2.02000000E+02	-1.22901825E+02	-7.32341595E+01	
2.03000000E+02	-1.29855618E+02	1.72857098E+02	
2.04000000E+02	-1.21047715E+02	5.29201422E+01	
2.05000000E+02	-1.16824230E+02	-5.35063596E+00	
2.06000000E+02	-1.16718751E+02	-5.67896456E+01	
2.07000000E+02	-1.20694377E+02	-1.06979386E+02	
2.08000000E+02	-1.38272108E+02	-1.66388381E+02	
2.09000000E+02	-1.25089256E+02	-2.36373091E+01	
2.10000000E+02	-1.21776576E+02	-7.97680936E+01	
2.11000000E+02	-1.23616067E+02	-1.51431021E+02	
2.12000000E+02	-1.23617041E+02	1.01313399E+02	
2.13000000E+02	-1.19004871E+02	2.21451539E+01	
2.14000000E+02	-1.16962225E+02	-3.48282276E+01	
2.15000000E+02	-1.17753018E+02	-8.64626360E+01	
2.16000000E+02	-1.21986214E+02	-1.40220216E+02	
2.17000000E+02	-1.33290644E+02	1.25320216E+02	
2.18000000E+02	-1.26275528E+02	-2.07374121E+01	
2.19000000E+02	-1.22976530E+02	-8.29498185E+01	
2.20000000E+02	-1.23836179E+02	-1.51778524E+02	
2.21000000E+02	-1.23622929E+02	1.14457022E+02	
2.22000000E+02	-1.19399683E+02	3.74259065E+01	
2.23000000E+02	-1.16505250E+02	-1.73571857E+01	
2.24000000E+02	-1.15548210E+02	-6.46735617E+01	
2.25000000E+02	-1.16425962E+02	-1.09324264E+02	
