Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
1.06000000E+02	-1.17427276E+02	-1.60875016E+02	
1.07000000E+02	-1.19864209E+02	1.94166219E+01	
1.08000000E+02	-1.21012673E+02	-5.70886451E+01	
1.09000000E+02	-1.20334286E+02	-3.81417714E+01	
1.10000000E+02	-1.18076296E+02	6.27507607E+01	
1.11000000E+02	-1.16030054E+02	-1.01945455E+02	
1.12000000E+02	-1.14871202E+02	-1.71442417E+02	
1.13000000E+02	-1.14373925E+02	-1.38685887E+02	
1.14000000E+02	-1.13876387E+02	-3.46374115E+00	
1.15000000E+02	-1.14081210E+02	-1.21237702E+02	
1.16000000E+02	-1.14603319E+02	-1.34333238E+02	
1.17000000E+02	-1.15335131E+02	-3.65465215E+01	
1.18000000E+02	-1.16806328E+02	1.76672944E+02	
1.19000000E+02	-1.17890705E+02	1.47430980E+02	
1.20000000E+02	-1.20272605E+02	-1.30006034E+02	
1.21000000E+02	-1.22404962E+02	7.54879167E+01	
1.22000000E+02	-1.26133814E+02	4.48366481E+01	
1.23000000E+02	-1.30134129E+02	1.49010862E+02	
1.24000000E+02	-1.42579564E+02	1.87288922E+01	
1.25000000E+02	-1.36453858E+02	1.15315201E+02	
1.26000000E+02	-1.30609582E+02	-9.03494036E+01	
1.27000000E+02	-1.26922737E+02	1.67155210E+02	
1.28000000E+02	-1.23740591E+02	-1.62112248E+02	
1.29000000E+02	-1.21599888E+02	9.16442525E+00	
1.30000000E+02	-1.19067075E+02	-3.52403049E+01	
1.31000000E+02	-1.17553017E+02	5.95246812E+01	
1.32000000E+02	-1.15804612E+02	-5.52766406E+01	
1.33000000E+02	-1.14319256E+02	-1.80143158E+01	
1.34000000E+02	-1.12947622E+02	1.74673024E+02	
1.35000000E+02	-1.11611567E+02	1.67303581E+02	
1.36000000E+02	-1.10265279E+02	-3.64582027E+01	
1.37000000E+02	-1.09141331E+02	-7.14418270E+01	
1.38000000E+02	-1.08138330E+02	6.44660358E+01	
1.39000000E+02	-1.07358598E+02	1.49163205E+01	
1.40000000E+02	-1.06647465E+02	1.44882465E+02	
1.41000000E+02	-1.06607734E+02	9.57219669E+01	
1.42000000E+02	-1.06677672E+02	-1.27695019E+02	
1.43000000E+02	-1.07158351E+02	-1.62296136E+02	
1.44000000E+02	-1.08358659E+02	-3.53177266E+00	
1.45000000E+02	-1.10012225E+02	-1.14033974E+01	
1.46000000E+02	-1.13366361E+02	-1.77661591E+02	
1.47000000E+02	-1.18601006E+02	-1.51479371E+02	
1.48000000E+02	-1.24008803E+02	1.83707504E+01	
1.49000000E+02	-1.15475870E+02	7.27347929E+01	
1.50000000E+02	-1.10999385E+02	2.25273991E+01	
1.51000000E+02	-1.08030341E+02	-1.59268551E+02	
1.52000000E+02	-1.05817673E+02	-1.16509641E+02	
1.53000000E+02	-1.04738111E+02	1.58541120E+02	
1.54000000E+02	-1.04053378E+02	-5.39256576E+01	
1.55000000E+02	-1.03984284E+02	-2.83878196E+01	
1.56000000E+02	-1.04518502E+02	-1.19669610E+02	
1.57000000E+02	-1.05832698E+02	3.46749618E+01	
1.58000000E+02	-1.08071391E+02	8.08773198E+01	
1.59000000E+02	-1.12145824E+02	1.97498839E+01	
1.60000000E+02	-1.21698051E+02	-1.48509158E+02	
1.61000000E+02	-1.21272553E+02	1.61814755E+02	
1.62000000E+02	-1.12072715E+02	1.73425078E+02	
1.63000000E+02	-1.08434430E+02	1.03552204E+02	
1.64000000E+02	-1.06344068E+02	-4.80881920E+01	
1.65000000E+02	-1.05287339E+02	8.22909033E+01	
1.66000000E+02	-1.04916829E+02	1.42106093E+02	
1.67000000E+02	-1.05236895E+02	1.34119331E+02	
1.68000000E+02	-1.06210051E+02	6.25525466E+01	
1.69000000E+02	-1.07995934E+02	-6.57753022E+01	
1.70000000E+02	-1.10349511E+02	1.11287320E+02	
1.71000000E+02	-1.14414683E+02	-1.19835702E+02	
1.72000000E+02	-1.20639913E+02	-3.39723861E+01	
1.73000000E+02	-1.37363270E+02	1.30583509E+02	
1.74000000E+02	-1.19830983E+02	-1.64024211E+02	
1.75000000E+02	-1.15913482E+02	1.76013917E+02	
1.76000000E+02	-1.13303126E+02	1.35494358E+02	
1.77000000E+02	-1.12190006E+02	7.09768564E+01	
1.78000000E+02	-1.11365103E+02	-2.48124793E+00	
1.79000000E+02	-1.11135015E+02	-8.72775829E+01	
1.80000000E+02	-1.10998602E+02	-1.77020265E+02	
1.81000000E+02	-1.11228408E+02	9.99669843E+01	
