Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
1.07000000E+02	-1.20515836E+02	7.78826477E+01	
1.08000000E+02	-1.19878822E+02	3.03223840E+01	
1.09000000E+02	-1.18483025E+02	-1.77502615E+01	
1.10000000E+02	-1.17510692E+02	-5.73677449E+01	
1.11000000E+02	-1.17283219E+02	-9.39120558E+01	
1.12000000E+02	-1.19237631E+02	-1.27283000E+02	
1.13000000E+02	-1.24936750E+02	-1.47172410E+02	
1.14000000E+02	-1.27440152E+02	-6.72668759E+01	
1.15000000E+02	-1.18082977E+02	-7.39465900E+01	
1.16000000E+02	-1.13887370E+02	-1.03071405E+02	
1.17000000E+02	-1.12182058E+02	-1.36266689E+02	
1.18000000E+02	-1.12301855E+02	-1.71815286E+02	
1.19000000E+02	-1.14441188E+02	1.53521060E+02	
1.20000000E+02	-1.19812301E+02	1.13651848E+02	
1.21000000E+02	-1.39317596E+02	4.00657066E+01	
1.22000000E+02	-1.24383059E+02	-1.38888981E+02	
1.23000000E+02	-1.22544367E+02	-1.74117969E+02	
1.24000000E+02	-1.27975575E+02	1.36340177E+02	
1.25000000E+02	-1.27709913E+02	-5.85161395E+01	
1.26000000E+02	-1.17823451E+02	-1.06676090E+02	
1.27000000E+02	-1.14664991E+02	-1.47320794E+02	
1.28000000E+02	-1.14542090E+02	1.71325218E+02	
1.29000000E+02	-1.16972720E+02	1.35232420E+02	
1.30000000E+02	-1.22620123E+02	1.14518369E+02	
1.31000000E+02	-1.27835308E+02	1.25982625E+02	
1.32000000E+02	-1.29148993E+02	9.79642960E+01	
1.33000000E+02	-1.26997794E+02	-3.72146795E+01	
1.34000000E+02	-1.17982086E+02	-1.05277802E+02	
1.35000000E+02	-1.13911382E+02	-1.55332886E+02	
1.36000000E+02	-1.13069580E+02	1.56595205E+02	
1.37000000E+02	-1.14975594E+02	1.08133031E+02	
1.38000000E+02	-1.20655743E+02	5.50722077E+01	
1.39000000E+02	-1.30599640E+02	-4.22333541E+01	
1.40000000E+02	-1.27453768E+02	-1.33215127E+02	
1.41000000E+02	-1.22934728E+02	-1.53579287E+02	
1.42000000E+02	-1.17887501E+02	-1.78950219E+02	
1.43000000E+02	-1.15752265E+02	1.37935103E+02	
1.44000000E+02	-1.16965210E+02	8.23433612E+01	
1.45000000E+02	-1.21878513E+02	-7.57754730E+00	
1.46000000E+02	-1.18896945E+02	-1.25240412E+02	
1.47000000E+02	-1.15780789E+02	1.72661988E+02	
1.48000000E+02	-1.16038574E+02	1.26589485E+02	
1.49000000E+02	-1.18629208E+02	1.01434699E+02	
1.50000000E+02	-1.19442362E+02	8.11479594E+01	
1.51000000E+02	-1.21728712E+02	2.39134430E+01	
1.52000000E+02	-1.22565981E+02	-9.48332785E+01	
1.53000000E+02	-1.16179413E+02	1.75558573E+02	
1.54000000E+02	-1.14287384E+02	1.10026848E+02	
1.55000000E+02	-1.16450040E+02	4.42628689E+01	
1.56000000E+02	-1.22466059E+02	-5.91686328E+01	
1.57000000E+02	-1.19037204E+02	-1.73830749E+02	
1.58000000E+02	-1.17218719E+02	1.35510891E+02	
1.59000000E+02	-1.16165060E+02	1.01119724E+02	
1.60000000E+02	-1.14945312E+02	6.50902952E+01	
1.61000000E+02	-1.16130020E+02	1.73788323E+00	
1.62000000E+02	-1.16573486E+02	-1.02781573E+02	
1.63000000E+02	-1.11887467E+02	1.57825738E+02	
1.64000000E+02	-1.09180254E+02	8.26269536E+01	
1.65000000E+02	-1.09255495E+02	6.37128833E+00	
1.66000000E+02	-1.10017231E+02	-8.48255069E+01	
1.67000000E+02	-1.08485308E+02	-1.79632035E+02	
1.68000000E+02	-1.06703628E+02	1.01822420E+02	
1.69000000E+02	-1.06477607E+02	2.76488871E+01	
1.70000000E+02	-1.07598902E+02	-5.50847446E+01	
1.71000000E+02	-1.07283913E+02	-1.51566683E+02	
1.72000000E+02	-1.05033328E+02	1.19842415E+02	
1.73000000E+02	-1.03745200E+02	4.06843728E+01	
1.74000000E+02	-1.03942822E+02	-4.12003822E+01	
1.75000000E+02	-1.04492935E+02	-1.32788103E+02	
1.76000000E+02	-1.03894672E+02	1.33449821E+02	
1.77000000E+02	-1.03367343E+02	4.69016594E+01	
1.78000000E+02	-1.04102619E+02	-3.98064872E+01	
1.79000000E+02	-1.04804622E+02	-1.36802751E+02	
1.80000000E+02	-1.03859736E+02	1.28006957E+02	
1.81000000E+02	-1.02958026E+02	4.43412596E+01	
1.82000000E+02	-1.03815896E+02	-3.57562557E+01	
1.83000000E+02	-1.06038881E+02	-1.26598035E+02	
1.84000000E+02	-1.06771542E+02	1.29814048E+02	
1.85000000E+02	-1.05850061E+02	3.46730914E+01	
1.86000000E+02	-1.05861905E+02	-5.38726325E+01	
1.87000000E+02	-1.06572902E+02	-1.49020444E+02	
1.88000000E+02	-1.05851803E+02	1.15684476E+02	
1.89000000E+02	-1.05251842E+02	3.02272919E+01	
1.90000000E+02	-1.06581304E+02	-5.17265427E+01	
1.91000000E+02	-1.09442655E+02	-1.50180917E+02	
1.92000000E+02	-1.08548542E+02	9.79863463E+01	
1.93000000E+02	-1.06107375E+02	9.72767594E+00	
1.94000000E+02	-1.05587950E+02	-6.80713234E+01	
1.95000000E+02	-1.06401501E+02	-1.50819040E+02	
1.96000000E+02	-1.06764940E+02	1.21572618E+02	
1.97000000E+02	-1.06471879E+02	3.88403701E+01	
1.98000000E+02	-1.07045461E+02	-3.88064586E+01	
1.99000000E+02	-1.09158194E+02	-1.22921370E+02	
2.00000000E+02	-1.09970601E+02	1.37680453E+02	
2.01000000E+02	-1.07886628E+02	4.88570213E+01	
2.02000000E+02	-1.06610190E+02	-2.29814817E+01	
2.03000000E+02	-1.07232556E+02	-8.91430579E+01	
2.04000000E+02	-1.09270265E+02	-1.59520978E+02	
2.05000000E+02	-1.11453801E+02	1.21761857E+02	
2.06000000E+02	-1.11987114E+02	4.43271247E+01	
2.07000000E+02	-1.12273059E+02	-2.36346791E+01	
2.08000000E+02	-1.13792611E+02	-8.80890499E+01	
2.09000000E+02	-1.16285333E+02	-1.61712557E+02	
2.10000000E+02	-1.16085394E+02	1.06535800E+02	
2.11000000E+02	-1.13196698E+02	3.27398209E+01	
2.12000000E+02	-1.11556360E+02	-2.48883325E+01	
2.13000000E+02	-1.11310760E+02	-7.68788561E+01	
2.14000000E+02	-1.12686448E+02	-1.26877579E+02	
2.15000000E+02	-1.14795295E+02	1.78435923E+02	
2.16000000E+02	-1.15860081E+02	1.14233323E+02	
2.17000000E+02	-1.14042113E+02	4.55690380E+01	
2.18000000E+02	-1.11543884E+02	-1.59830642E+01	
2.19000000E+02	-1.09800880E+02	-7.58670110E+01	
2.20000000E+02	-1.09155175E+02	-1.42888716E+02	
2.21000000E+02	-1.08542669E+02	1.45550647E+02	
2.22000000E+02	-1.07200897E+02	7.07327506E+01	
2.23000000E+02	-1.05559915E+02	2.36240193E+00	
2.24000000E+02	-1.04600609E+02	-6.17485850E+01	
2.25000000E+02	-1.04563400E+02	-1.24417315E+02	
2.26000000E+02	-1.05239786E+02	1.70656853E+02	
2.27000000E+02	-1.05805038E+02	1.02682239E+02	
2.28000000E+02	-1.05849421E+02	3.77015441E+01	
2.29000000E+02	-1.05813748E+02	-2.15699956E+01	
2.30000000E+02	-1.06156259E+02	-7.40605279E+01	
2.31000000E+02	-1.07060612E+02	-1.20390388E+02	
2.32000000E+02	-1.08337739E+02	-1.62086092E+02	
2.33000000E+02	-1.09714339E+02	1.59766675E+02	
2.34000000E+02	-1.10126659E+02	1.21216849E+02	
2.35000000E+02	-1.09960688E+02	7.99729311E+01	
2.36000000E+02	-1.09322273E+02	3.62163229E+01	
2.37000000E+02	-1.08444046E+02	-9.85023714E+00	
2.38000000E+02	-1.07710295E+02	-5.39132003E+01	
2.39000000E+02	-1.07528747E+02	-1.00202642E+02	
2.40000000E+02	-1.07739950E+02	-1.49549926E+02	
2.41000000E+02	-1.07944292E+02	1.60032807E+02	
2.42000000E+02	-1.07646827E+02	1.06251380E+02	
2.43000000E+02	-1.07026360E+02	5.48840126E+01	
2.44000000E+02	-1.06070514E+02	8.03274993E+00	
2.45000000E+02	-1.05201769E+02	-3.48488479E+01	
2.46000000E+02	-1.04930779E+02	-7.34313178E+01	
2.47000000E+02	-1.05222780E+02	-1.10559644E+02	
2.48000000E+02	-1.06433869E+02	-1.46158754E+02	
2.49000000E+02	-1.08527024E+02	1.78627890E+02	
2.50000000E+02	-1.12715272E+02	1.41551014E+02	
2.51000000E+02	-1.20387195E+02	8.60727182E+01	
2.52000000E+02	-1.19685566E+02	-5.69052587E+01	
2.53000000E+02	-1.12093932E+02	-1.03184528E+02	
2.54000000E+02	-1.08762205E+02	-1.37865572E+02	
2.55000000E+02	-1.06622282E+02	-1.67145962E+02	
2.56000000E+02	-1.05669797E+02	1.63111826E+02	
2.57000000E+02	-1.05322161E+02	1.34891640E+02	
2.58000000E+02	-1.05259799E+02	1.06061835E+02	
2.59000000E+02	-1.05911074E+02	7.66361697E+01	
2.60000000E+02	-1.06414070E+02	4.62844329E+01	
2.61000000E+02	-1.06797858E+02	1.55290895E+01	
2.62000000E+02	-1.07041965E+02	-1.64784644E+01	
2.63000000E+02	-1.07011736E+02	-4.64503707E+01	
2.64000000E+02	-1.06583069E+02	-7.34965651E+01	
2.65000000E+02	-1.06222209E+02	-9.52444796E+01	
2.66000000E+02	-1.05747279E+02	-1.15307290E+02	
2.67000000E+02	-1.05652685E+02	-1.29525956E+02	
2.68000000E+02	-1.05879423E+02	-1.41449031E+02	
2.69000000E+02	-1.06638715E+02	-1.51351876E+02	
2.70000000E+02	-1.07671623E+02	-1.59193974E+02	
2.71000000E+02	-1.09786549E+02	-1.66893725E+02	
2.72000000E+02	-1.12679761E+02	-1.74797666E+02	
2.73000000E+02	-1.16400840E+02	1.64190718E+02	
2.74000000E+02	-1.18509424E+02	1.23790927E+02	
2.75000000E+02	-1.15174088E+02	8.61271137E+01	
2.76000000E+02	-1.11321039E+02	8.39553718E+01	
2.77000000E+02	-1.08870414E+02	8.72236949E+01	
2.78000000E+02	-1.07706594E+02	1.00684171E+02	
2.79000000E+02	-1.06765524E+02	1.15824393E+02	
2.80000000E+02	-1.06420270E+02	1.35347581E+02	
2.81000000E+02	-1.06205288E+02	1.56535692E+02	
2.82000000E+02	-1.06366640E+02	-1.76883458E+02	
2.83000000E+02	-1.06673646E+02	-1.48429044E+02	
2.84000000E+02	-1.07014155E+02	-1.19323662E+02	
2.85000000E+02	-1.07627537E+02	-8.97081298E+01	
